country,year,co2,co2_per_capita,gdp,population,iso_code,pm2_5,latitude,longitude,temperature,code,region,income_group,lending category
Africa,2007,1116.9,1.127,,992055831.0,,,,,0.78,,,,
Africa,2008,1174.755,1.156,,1018065513.0,,,,,0.52,,,,
Africa,2009,1168.25,1.12,,1044777740.0,,,,,0.58,,,,
Africa,2010,1216.669,1.136,,1072216718.0,,,,,0.88,,,,
Africa,2011,1257.421,1.145,,1100148882.0,,,,,0.67,,,,
Africa,2012,1268.948,1.126,,1128843697.0,,,,,0.72,,,,
Africa,2013,1282.542,1.108,,1158780551.0,,,,,0.6,,,,
Africa,2014,1357.349,1.143,,1189220573.0,,,,,0.79,,,,
Africa,2015,1332.662,1.094,,1220075728.0,,,,,0.82,,,,
Africa,2016,1375.131,1.1,,1251208654.0,,,,,1.14,,,,
Africa,2017,1393.216,1.087,,1282902302.0,,,,,0.95,,,,
Africa,2018,1386.654,1.055,,1315409965.0,,,,,0.91,,,,
Africa,2019,1479.412,1.099,,1348005687.0,,,,,1.05,,,,
Africa,2020,1355.782,0.983,,1380821355.0,,,,,1.14,,,,
Africa,2021,1441.534,1.021,,1413753270.0,,,,,0.8,,,,
Africa,2022,1432.503,0.991,,1446883817.0,,,,,0.89,,,,
Africa,2023,1418.739,0.959,,1480770740.0,,,,,0.99,,,,
Africa (GCP),1990,658.336,,,,,,,,0.61,,,,
Africa (GCP),1991,687.663,,,,,,,,0.52,,,,
Africa (GCP),1992,666.653,,,,,,,,0.3,,,,
Africa (GCP),1993,706.431,,,,,,,,0.32,,,,
Africa (GCP),1994,790.223,,,,,,,,0.4,,,,
Africa (GCP),1995,844.538,,,,,,,,0.5,,,,
Africa (GCP),1996,872.273,,,,,,,,0.34,,,,
Africa (GCP),1997,893.927,,,,,,,,0.39,,,,
Africa (GCP),1998,912.471,,,,,,,,0.72,,,,
Africa (GCP),1999,899.868,,,,,,,,0.36,,,,
Africa (GCP),2000,930.84,,,,,,,,0.59,,,,
Africa (GCP),2001,920.591,,,,,,,,0.53,,,,
Africa (GCP),2002,899.985,,,,,,,,0.56,,,,
Africa (GCP),2003,989.634,,,,,,,,0.57,,,,
Africa (GCP),2004,1045.715,,,,,,,,0.62,,,,
Africa (GCP),2005,1059.361,,,,,,,,0.69,,,,
Africa (GCP),2006,1091.165,,,,,,,,0.55,,,,
Africa (GCP),2007,1116.889,,,,,,,,0.78,,,,
Africa (GCP),2008,1174.744,,,,,,,,0.52,,,,
Africa (GCP),2009,1168.239,,,,,,,,0.58,,,,
Africa (GCP),2010,1216.658,,,,,,,,0.88,,,,
Africa (GCP),2011,1257.41,,,,,,,,0.67,,,,
Africa (GCP),2012,1268.937,,,,,,,,0.72,,,,
Africa (GCP),2013,1282.531,,,,,,,,0.6,,,,
Africa (GCP),2014,1357.338,,,,,,,,0.79,,,,
Africa (GCP),2015,1332.651,,,,,,,,0.82,,,,
Africa (GCP),2016,1375.117,,,,,,,,1.14,,,,
Africa (GCP),2017,1393.205,,,,,,,,0.95,,,,
Africa (GCP),2018,1386.643,,,,,,,,0.91,,,,
Africa (GCP),2019,1479.397,,,,,,,,1.05,,,,
Africa (GCP),2020,1355.771,,,,,,,,1.14,,,,
Africa (GCP),2021,1441.523,,,,,,,,0.8,,,,
Africa (GCP),2022,1432.492,,,,,,,,0.89,,,,
Africa (GCP),2023,1418.728,,,,,,,,0.99,,,,
Albania,1990,5.521,1.684,12947849216.0,3277964.0,ALB,,,,0.61,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1991,4.29,1.307,9375856640.0,3282607.0,ALB,,,,0.52,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1992,2.517,0.767,8745674752.0,3282506.0,ALB,,,,0.3,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1993,2.338,0.713,9636341760.0,3277830.0,ALB,,,,0.32,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1994,1.924,0.588,10596114432.0,3269417.0,ALB,,,,0.4,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1995,2.089,0.641,11600732160.0,3258571.0,ALB,,,,0.5,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1996,2.018,0.622,12468868096.0,3245681.0,ALB,,,,0.34,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1997,1.543,0.478,11020137472.0,3229665.0,ALB,,,,0.39,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1998,1.755,0.547,12026242048.0,3210133.0,ALB,,,,0.72,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,1999,2.986,0.937,13673693184.0,3188596.0,ALB,,,,0.36,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2000,3.025,0.955,14736835584.0,3166147.0,ALB,,,,0.59,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2001,3.221,1.023,16103904256.0,3147941.0,ALB,,,,0.53,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2002,3.748,1.196,17037279232.0,3134094.0,ALB,,,,0.56,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2003,4.303,1.38,18171076608.0,3118092.0,ALB,,,,0.57,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2004,4.177,1.348,19346601984.0,3098663.0,ALB,,,,0.62,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2005,4.261,1.385,20562851840.0,3076155.0,ALB,,,,0.69,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2006,3.911,1.282,21889974272.0,3050804.0,ALB,,,,0.55,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2007,3.949,1.306,23259283456.0,3022887.0,ALB,,,,0.78,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2008,4.397,1.469,25006229504.0,2992933.0,ALB,,,,0.52,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2009,4.407,1.488,25821550592.0,2961487.0,ALB,,,,0.58,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2010,4.784,1.633,26747820032.0,2928730.0,ALB,,,,0.88,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2011,5.315,1.825,27431047168.0,2911500.0,ALB,,,,0.67,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2012,4.85,1.667,27819812864.0,2910003.0,ALB,,,,0.72,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2013,5.287,1.819,28098562048.0,2907570.0,ALB,,,,0.6,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2014,6.0,2.066,28597168128.0,2903748.0,ALB,7.742,41.3199,19.4492,0.79,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2014,6.0,2.066,28597168128.0,2903748.0,ALB,12.068,42.3139,19.5234,0.79,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2014,6.0,2.066,28597168128.0,2903748.0,ALB,24.001,40.6259,20.7802,0.79,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2014,6.0,2.066,28597168128.0,2903748.0,ALB,7.832,40.4031,19.4862,0.79,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2015,4.712,1.626,29231665152.0,2898634.0,ALB,12.595,41.3199,19.4492,0.82,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2015,4.712,1.626,29231665152.0,2898634.0,ALB,13.236,42.3139,19.5234,0.82,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2015,4.712,1.626,29231665152.0,2898634.0,ALB,30.343,40.6259,20.7802,0.82,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2015,4.712,1.626,29231665152.0,2898634.0,ALB,9.249,40.4031,19.4862,0.82,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2016,4.632,1.598,30200692736.0,2897868.0,ALB,14.323,41.3199,19.4492,1.14,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2016,4.632,1.598,30200692736.0,2897868.0,ALB,14.68,42.3139,19.5234,1.14,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2016,4.632,1.598,30200692736.0,2897868.0,ALB,28.641,40.6259,20.7802,1.14,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2016,4.632,1.598,30200692736.0,2897868.0,ALB,9.746,40.4031,19.4862,1.14,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2017,5.293,1.826,31348975616.0,2898247.0,ALB,14.67,41.3199,19.4492,0.95,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2017,5.293,1.826,31348975616.0,2898247.0,ALB,27.84,42.3139,19.5234,0.95,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2017,5.293,1.826,31348975616.0,2898247.0,ALB,18.653,40.6259,20.7802,0.95,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2017,5.293,1.826,31348975616.0,2898247.0,ALB,8.812,40.4031,19.4862,0.95,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2018,4.895,1.691,32609001472.0,2894231.0,ALB,22.415,41.3199,19.4492,0.91,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2018,4.895,1.691,32609001472.0,2894231.0,ALB,11.01,40.4031,19.4862,0.91,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2019,4.827,1.673,33289746432.0,2885012.0,ALB,12.565,41.3199,19.4492,1.05,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2019,4.827,1.673,33289746432.0,2885012.0,ALB,10.315,40.4031,19.4862,1.05,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2020,4.711,1.64,32130725888.0,2871951.0,ALB,23.161,41.3199,19.4492,1.14,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2021,5.134,1.802,34866974720.0,2849643.0,ALB,,,,0.8,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2022,5.173,1.83,36171005952.0,2827615.0,ALB,,,,0.89,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Albania,2023,5.144,1.83,,2811660.0,ALB,,,,0.99,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Algeria,1990,76.738,3.024,117843181568.0,25375816.0,DZA,,,,0.61,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1991,78.807,3.032,121105145856.0,25987937.0,DZA,,,,0.52,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1992,79.883,3.0,127982690304.0,26628568.0,DZA,,,,0.3,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1993,81.944,3.004,130275778560.0,27277040.0,DZA,,,,0.32,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1994,88.608,3.177,134279856128.0,27887276.0,DZA,,,,0.4,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1995,96.777,3.399,145054662656.0,28470194.0,DZA,,,,0.5,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1996,100.039,3.446,156579119104.0,29033045.0,DZA,,,,0.34,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1997,88.369,2.988,164644454400.0,29579300.0,DZA,,,,0.39,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1998,106.537,3.545,179962888192.0,30054135.0,DZA,,,,0.72,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,1999,91.449,3.001,193179779072.0,30474359.0,DZA,,,,0.36,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2000,85.399,2.763,208554147840.0,30903895.0,DZA,,,,0.59,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2001,86.839,2.772,223420284928.0,31331226.0,DZA,,,,0.53,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2002,90.692,2.856,245360918528.0,31750833.0,DZA,,,,0.56,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2003,94.581,2.939,273568645120.0,32175813.0,DZA,,,,0.57,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2004,91.714,2.811,296773582848.0,32628286.0,DZA,,,,0.62,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2005,110.993,3.352,326854475776.0,33109258.0,DZA,,,,0.69,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2006,105.896,3.149,345705316352.0,33623505.0,DZA,,,,0.55,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2007,109.889,3.214,371665272832.0,34189420.0,DZA,,,,0.78,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2008,111.087,3.191,395658526720.0,34816962.0,DZA,,,,0.52,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2009,118.856,3.349,418247704576.0,35490443.0,DZA,,,,0.58,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2010,118.353,3.27,450705784832.0,36188236.0,DZA,,,,0.88,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2011,125.095,3.39,482028650496.0,36903375.0,DZA,,,,0.67,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2012,135.674,3.604,498417631232.0,37646164.0,DZA,,,,0.72,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2013,140.786,3.665,512373325824.0,38414176.0,DZA,,,,0.6,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2014,151.283,3.859,531843514368.0,39205035.0,DZA,,,,0.79,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2015,160.087,4.0,551521746944.0,40019528.0,DZA,,,,0.82,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2016,158.482,3.88,569170395136.0,40850720.0,DZA,,,,1.14,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2017,165.174,3.962,577138786304.0,41689304.0,DZA,,,,0.95,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2018,172.705,4.063,584064434176.0,42505033.0,DZA,,,,0.91,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2019,179.907,4.155,589905133568.0,43294550.0,DZA,21.533,36.7558,3.03911,1.05,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2020,168.178,3.819,559819915264.0,44042093.0,DZA,,,,1.14,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2021,179.596,4.012,578853797888.0,44761101.0,DZA,,,,0.8,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2022,184.558,4.058,595820019712.0,45477391.0,DZA,,,,0.89,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Algeria,2023,178.133,3.859,,46164221.0,DZA,,,,0.99,DZA,Middle East & North Africa,Upper Middle Income,IBRD
Andorra,1990,0.407,7.73,,52616.0,AND,,,,0.61,AND,Europe & Central Asia,High Income,
Andorra,1991,0.407,7.174,,56692.0,AND,,,,0.52,AND,Europe & Central Asia,High Income,
Andorra,1992,0.407,6.754,,60216.0,AND,,,,0.3,AND,Europe & Central Asia,High Income,
Andorra,1993,0.41,6.484,,63293.0,AND,,,,0.32,AND,Europe & Central Asia,High Income,
Andorra,1994,0.407,6.293,,64630.0,AND,,,,0.4,AND,Europe & Central Asia,High Income,
Andorra,1995,0.425,6.648,,63935.0,AND,,,,0.5,AND,Europe & Central Asia,High Income,
Andorra,1996,0.454,7.098,,64008.0,AND,,,,0.34,AND,Europe & Central Asia,High Income,
Andorra,1997,0.465,7.19,,64721.0,AND,,,,0.39,AND,Europe & Central Asia,High Income,
Andorra,1998,0.491,7.507,,65399.0,AND,,,,0.72,AND,Europe & Central Asia,High Income,
Andorra,1999,0.513,7.804,,65732.0,AND,,,,0.36,AND,Europe & Central Asia,High Income,
Andorra,2000,0.524,7.975,,65703.0,AND,,,,0.59,AND,Europe & Central Asia,High Income,
Andorra,2001,0.524,7.954,,65874.0,AND,,,,0.53,AND,Europe & Central Asia,High Income,
Andorra,2002,0.531,7.986,,66528.0,AND,,,,0.56,AND,Europe & Central Asia,High Income,
Andorra,2003,0.535,7.696,,69507.0,AND,,,,0.57,AND,Europe & Central Asia,High Income,
Andorra,2004,0.561,7.541,,74342.0,AND,,,,0.62,AND,Europe & Central Asia,High Income,
Andorra,2005,0.575,7.429,,77436.0,AND,,,,0.69,AND,Europe & Central Asia,High Income,
Andorra,2006,0.546,6.858,,79609.0,AND,,,,0.55,AND,Europe & Central Asia,High Income,
Andorra,2007,0.539,6.576,,81900.0,AND,,,,0.78,AND,Europe & Central Asia,High Income,
Andorra,2008,0.539,6.449,,83513.0,AND,,,,0.52,AND,Europe & Central Asia,High Income,
Andorra,2009,0.517,6.157,,83908.0,AND,,,,0.58,AND,Europe & Central Asia,High Income,
Andorra,2010,0.517,6.4,,80726.0,AND,,,,0.88,AND,Europe & Central Asia,High Income,
Andorra,2011,0.491,6.311,,77801.0,AND,,,,0.67,AND,Europe & Central Asia,High Income,
Andorra,2012,0.487,6.34,,76858.0,AND,,,,0.72,AND,Europe & Central Asia,High Income,
Andorra,2013,0.476,6.332,,75220.0,AND,,,,0.6,AND,Europe & Central Asia,High Income,
Andorra,2014,0.462,6.259,,73755.0,AND,,,,0.79,AND,Europe & Central Asia,High Income,
Andorra,2015,0.465,6.446,,72194.0,AND,,,,0.82,AND,Europe & Central Asia,High Income,
Andorra,2016,0.469,6.496,,72197.0,AND,,,,1.14,AND,Europe & Central Asia,High Income,
Andorra,2017,0.469,6.357,,73781.0,AND,,,,0.95,AND,Europe & Central Asia,High Income,
Andorra,2018,0.498,6.628,,75182.0,AND,,,,0.91,AND,Europe & Central Asia,High Income,
Andorra,2019,0.491,6.419,,76491.0,AND,,,,1.05,AND,Europe & Central Asia,High Income,
Andorra,2020,0.381,4.923,,77398.0,AND,,,,1.14,AND,Europe & Central Asia,High Income,
Andorra,2021,0.41,5.236,,78375.0,AND,,,,0.8,AND,Europe & Central Asia,High Income,
Andorra,2022,0.42,5.263,,79722.0,AND,,,,0.89,AND,Europe & Central Asia,High Income,
Andorra,2023,0.424,5.242,,80868.0,AND,,,,0.99,AND,Europe & Central Asia,High Income,
Angola,1990,5.09,0.438,11482503168.0,11626359.0,AGO,,,,0.61,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1991,5.064,0.421,12341156864.0,12023533.0,AGO,,,,0.52,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1992,5.164,0.416,12363420672.0,12423717.0,AGO,,,,0.3,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1993,5.748,0.448,9985477632.0,12827135.0,AGO,,,,0.32,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1994,11.353,0.857,10760814592.0,13249762.0,AGO,,,,0.4,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1995,12.617,0.921,13143770112.0,13699780.0,AGO,,,,0.5,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1996,15.249,1.076,15819837440.0,14170973.0,AGO,,,,0.34,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1997,15.884,1.083,17972295680.0,14660420.0,AGO,,,,0.39,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1998,16.513,1.089,19905044480.0,15159377.0,AGO,,,,0.72,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,1999,17.261,1.102,21527478272.0,15667234.0,AGO,,,,0.36,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2000,15.995,0.988,23512182784.0,16194872.0,AGO,,,,0.59,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2001,15.908,0.95,26015021056.0,16747204.0,AGO,,,,0.53,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2002,16.08,0.928,31389808640.0,17327701.0,AGO,,,,0.56,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2003,17.484,0.974,35081367552.0,17943717.0,AGO,,,,0.57,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2004,17.016,0.915,41307234304.0,18600426.0,AGO,,,,0.62,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2005,15.387,0.798,51967664128.0,19291161.0,AGO,,,,0.69,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2006,17.145,0.857,66749579264.0,20015280.0,AGO,,,,0.55,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2007,17.588,0.846,87086358528.0,20778569.0,AGO,,,,0.78,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2008,18.75,0.869,105593135104.0,21578655.0,AGO,,,,0.52,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2009,20.668,0.922,115247841280.0,22414774.0,AGO,,,,0.58,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2010,22.983,0.987,126984183808.0,23294821.0,AGO,,,,0.88,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2011,23.397,0.966,140477267968.0,24218358.0,AGO,,,,0.67,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2012,25.941,1.03,152476844032.0,25177399.0,AGO,,,,0.72,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2013,25.71,0.983,160032079872.0,26165616.0,AGO,,,,0.6,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2014,26.09,0.961,167750418432.0,27160766.0,AGO,,,,0.79,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2015,27.507,0.977,169333981184.0,28157801.0,AGO,,,,0.82,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2016,25.466,0.873,164965171200.0,29183072.0,AGO,,,,1.14,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2017,23.595,0.78,164717707264.0,30234837.0,AGO,,,,0.95,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2018,23.305,0.745,162550038528.0,31297160.0,AGO,,,,0.91,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2019,22.047,0.681,161408925696.0,32375632.0,AGO,,,,1.05,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Angola,2020,16.533,0.494,152308695040.0,33451140.0,AGO,,,,1.14,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
